iter	Passed	Remaining
1485	86049	493015
1486	86101	492925
1487	86157	492857
1488	86211	492778
1489	86264	492693
1490	86318	492610
1491	86372	492532
1492	86425	492445
1493	86480	492373
1494	86533	492287
1495	86589	492217
1496	86644	492145
1497	86700	492076
1498	86753	491987
1499	86807	491908
1500	86859	491819
1501	86912	491734
1502	86967	491657
1503	87021	491576
1504	87075	491499
1505	87128	491413
1506	87182	491333
1507	87238	491264
1508	87292	491186
1509	87346	491109
1510	87399	491022
1511	87452	490935
1512	87507	490862
1513	87560	490779
1514	87617	490717
1515	87673	490645
1516	87728	490573
1517	87783	490502
1518	87838	490428
1519	87890	490336
1520	87945	490260
1521	87998	490178
1522	88051	490095
1523	88104	490009
1524	88159	489935
1525	88212	489851
1526	88264	489758
1527	88317	489679
1528	88373	489606
1529	88426	489525
1530	88478	489435
1531	88533	489358
1532	88585	489274
1533	88639	489193
1534	88694	489119
1535	88745	489022
1536	88796	488926
1537	88851	488855
1538	88901	488755
1539	88952	488663
1540	89006	488581
1541	89056	488484
1542	89113	488421
1543	89171	488363
1544	89233	488332
1545	89291	488271
1546	89344	488189
1547	89398	488113
1548	89454	488044
1549	89511	487984
1550	89569	487923
1551	89624	487851
1552	89682	487795
1553	89739	487734
1554	89802	487705
1555	89858	487637
1556	89912	487558
1557	89968	487492
1558	90024	487427
1559	90078	487350
1560	90132	487268
1561	90185	487188
1562	90237	487099
1563	90294	487034
1564	90349	486963
1565	90405	486894
1566	90460	486822
1567	90517	486764
1568	90572	486692
1569	90628	486623
1570	90684	486554
1571	90738	486477
1572	90792	486401
1573	90846	486321
1574	90898	486234
1575	90950	486145
1576	91004	486069
1577	91058	485991
1578	91109	485900
1579	91163	485821
1580	91214	485728
1581	91269	485654
1582	91323	485579
1583	91380	485515
1584	91439	485464
1585	91493	485386
1586	91544	485297
1587	91597	485214
1588	91651	485138
1589	91706	485062
1590	91757	484970
1591	91811	484896
1592	91863	484806
1593	91917	484730
1594	91970	484649
1595	92026	484578
1596	92081	484507
1597	92134	484425
1598	92189	484353
1599	92240	484263
1600	92294	484184
1601	92348	484111
1602	92404	484040
1603	92455	483948
1604	92513	483895
1605	92567	483818
1606	92622	483747
1607	92675	483666
1608	92730	483593
1609	92783	483513
1610	92836	483430
1611	92891	483356
1612	92943	483273
1613	92998	483201
1614	93053	483128
1615	93111	483074
1616	93168	483014
1617	93223	482938
1618	93277	482863
1619	93333	482800
1620	93389	482734
1621	93442	482651
1622	93498	482585
1623	93553	482514
1624	93608	482445
1625	93663	482373
1626	93718	482300
1627	93773	482229
1628	93830	482168
1629	93887	482107
1630	93941	482031
1631	93994	481953
1632	94048	481877
1633	94103	481805
1634	94157	481727
1635	94214	481667
1636	94268	481595
1637	94325	481532
1638	94381	481467
1639	94439	481409
1640	94494	481338
1641	94549	481267
1642	94602	481187
1643	94654	481104
1644	94706	481018
1645	94760	480942
1646	94814	480864
1647	94865	480776
1648	94918	480695
1649	94972	480618
1650	95027	480548
1651	95078	480456
1652	95130	480371
1653	95181	480278
1654	95235	480203
1655	95286	480115
1656	95338	480029
1657	95391	479948
1658	95444	479868
1659	95497	479789
1660	95549	479703
